,상호,주소,가격,셀프,상표,구
0,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1543.0,Y,현대오일뱅크,강동구
1,구천면주유소,서울 강동구 구천면로 357 (암사동),1584.0,N,현대오일뱅크,강동구
2,명일주유소,서울 강동구 고덕로 168 (명일동),1595.0,Y,SK에너지,강동구
3,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1595.0,Y,GS칼텍스,강동구
4,(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),1596.0,Y,GS칼텍스,강동구
5,대성석유(주)길동주유소,서울 강동구 천호대로 1168,1596.0,N,GS칼텍스,강동구
6,방아다리주유소,서울 강동구 동남로 811 (명일동),1629.0,Y,SK에너지,강동구
7,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),1630.0,Y,GS칼텍스,강동구
8,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),1630.0,Y,S-OIL,강동구
9,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1631.0,Y,GS칼텍스,강동구
10,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1655.0,Y,SK에너지,강동구
11,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1695.0,N,SK에너지,강동구
12,천호현대주유소,서울 강동구 천중로 67 (천호동),1799.0,N,현대오일뱅크,강동구
13,광성주유소,서울 강동구 올림픽로 673 (천호동),1898.0,N,S-OIL,강동구
14,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),1509.0,Y,현대오일뱅크,동대문구
15,풍한주유소,서울 동대문구 안암로 168,1525.0,N,SK에너지,동대문구
16,열린주유소,서울 동대문구 한천로 263 (휘경동),1527.0,N,S-OIL,동대문구
17,재정주유소,서울 동대문구 전농로 121 (전농동),1530.0,Y,현대오일뱅크,동대문구
18,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1530.0,Y,현대오일뱅크,동대문구
19,삼영주유소,서울 동대문구 답십리로 258 (장안동),1555.0,N,SK에너지,동대문구
20,동서울고속주유소,서울 동대문구 한천로 414,1555.0,Y,SK에너지,동대문구
21,(주)파랑에너지,서울 동대문구 망우로 126,1565.0,Y,GS칼텍스,동대문구
22,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1565.0,Y,GS칼텍스,동대문구
23,(주)경동주유소,서울 동대문구 이문로 191 (이문동),1565.0,Y,S-OIL,동대문구
24,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1575.0,Y,GS칼텍스,동대문구
25,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1588.0,Y,SK에너지,동대문구
26,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1595.0,N,S-OIL,동대문구
27,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1597.0,Y,SK에너지,동대문구
28,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1599.0,N,현대오일뱅크,동대문구
29,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1599.0,N,현대오일뱅크,동대문구
30,배봉로주유소,서울 동대문구 서울시립대로 108,1625.0,Y,현대오일뱅크,동대문구
31,오동나무주유소,서울 동대문구  한천로 81 (답십리동),1648.0,N,S-OIL,동대문구
32,창원이엔지주유소,서울 동작구 사당로 59 (상도동),1549.0,Y,현대오일뱅크,동작구
33,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1560.0,N,GS칼텍스,동작구
34,매일주유소,서울 동작구 상도로 139 (상도동),1579.0,Y,S-OIL,동작구
35,HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1579.0,Y,현대오일뱅크,동작구
36,신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1594.0,Y,현대오일뱅크,동작구
37,HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1599.0,Y,현대오일뱅크,동작구
38,HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),1609.0,N,현대오일뱅크,동작구
39,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),1609.0,Y,GS칼텍스,동작구
40,살피재주유소,서울 동작구 상도로 334,1765.0,N,SK에너지,동작구
41,마포시엠주유소,서울 마포구 월드컵북로 62,1537.0,N,SK에너지,마포구
42,성산대교셀프주유소,서울 마포구 성산로 144,1537.0,Y,현대오일뱅크,마포구
43,청원주유소,서울 마포구 월드컵북로 113 (성산동),1537.0,Y,현대오일뱅크,마포구
44,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1557.0,N,SK에너지,마포구
45,에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1609.0,Y,S-OIL,마포구
46,용강주유소,서울 마포구 토정로 258,1609.0,N,S-OIL,마포구
47,에스에스오토셀프,서울 마포구 서강로 76 (창전동),1629.0,Y,현대오일뱅크,마포구
48,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),1629.0,N,SK에너지,마포구
49,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),1638.0,N,SK에너지,마포구
50,SK에너지(주) 안국주유소,서울 마포구 양화로 33,1699.0,N,SK에너지,마포구
